record_id,redcap_survey_identifier,my_first_instrument_timestamp,gender,group,year,age,had_ortho,male_3mm,male_25mm,male_sym,male_4mm,male_2mm,male_35mm,male_15mm,male_1mm,female_3mm,female_15mm,female_2mm,female_4mm,female_25,female_symm,female_1mm,female_35mm,my_first_instrument_complete
56,,"2018-08-14 21:24:35",2,2,1,1,1,,,,,,,,,,,,,,,,,2
57,,"2018-08-14 21:45:22",2,2,2,3,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,2
58,,"2018-08-14 22:08:33",2,2,1,3,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,2
59,,"2018-08-14 22:26:16",2,2,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,2
60,,"2018-08-14 22:30:11",2,2,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,2
61,,"2018-08-14 22:53:12",1,2,1,2,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,2
62,,"2018-08-14 23:05:59",2,2,2,3,1,,,,,,,,,,,,,,,,,2
63,,"2018-08-14 23:40:27",1,2,3,3,0,1,0,0,1,0,1,0,1,1,0,0,1,1,1,1,1,2
64,,"2018-08-14 23:42:18",1,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
65,,"2018-08-15 07:54:01",2,2,4,4,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,2
66,,"2018-08-15 08:14:09",2,2,2,5,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,2
67,,"2018-08-15 08:47:00",2,2,4,3,1,,,,,,,,,,,,,,,,,2
68,,"2018-08-15 09:29:14",1,2,2,2,1,,,,,,,,,,,,,,,,,2
69,,"2018-08-15 09:54:29",2,2,2,6,1,,,,,,,,,,,,,,,,,2
70,,"2018-08-15 11:26:04",2,2,2,2,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,1,2
71,,"2018-08-15 11:27:21",2,2,2,6,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,2
72,,"2018-08-15 11:44:56",2,2,3,6,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,2
73,,"[not completed]",2,2,3,3,0,1,1,,,,,,,,,,,,,,,0
74,,"2018-08-15 14:10:24",2,2,3,3,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,2
75,,"2018-08-15 16:49:38",1,2,1,3,1,,,,,,,,,,,,,,,,,2
76,,"2018-08-15 17:05:39",2,2,4,3,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,2
77,,"2018-08-15 18:13:51",2,2,1,1,1,,,,,,,,,,,,,,,,,2
78,,"2018-08-15 18:38:03",2,2,4,2,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,2
79,,"2018-08-15 19:21:06",2,2,1,4,1,,,,,,,,,,,,,,,,,2
80,,"2018-08-15 19:48:06",2,2,1,4,0,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,2
81,,"2018-08-15 21:45:51",2,2,3,2,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,2
82,,"2018-08-16 06:06:36",2,2,1,2,0,1,0,0,1,1,1,0,0,1,1,1,1,1,0,0,1,2
83,,"2018-08-16 09:01:33",2,2,4,3,0,1,0,0,1,0,1,0,0,1,1,1,1,1,0,0,1,2
84,,"2018-08-16 11:32:58",2,2,3,2,1,,,,,,,,,,,,,,,,,2
85,,"2018-08-16 17:06:12",2,2,2,5,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,2
86,,"[not completed]",2,2,1,2,0,0,,,,,,,,,,,,,,,,0
87,,"2018-08-17 01:34:40",1,2,3,2,1,,,,,,,,,,,,,,,,,2
88,,"2018-08-17 09:21:45",2,2,1,1,1,,,,,,,,,,,,,,,,,2
89,,"2018-08-17 10:42:47",2,2,4,3,1,,,,,,,,,,,,,,,,,2
90,,"2018-08-17 11:31:51",2,2,4,3,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,2
91,,"2018-08-17 20:40:08",2,2,2,2,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,1,2
92,,"2018-08-19 16:00:20",2,2,1,3,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,2
93,,"2018-08-19 17:03:34",1,2,2,4,1,,,,,,,,,,,,,,,,,2
94,,"2018-08-19 23:32:38",2,2,4,5,0,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,1,2
95,,"2018-08-21 14:45:46",2,2,1,1,0,1,0,0,1,1,0,1,1,1,0,1,1,1,0,0,1,2
96,,"[not completed]",,,,,,,,,,,,,,,,,,,,,,0
97,,"2018-08-24 10:32:17",1,1,4,4,1,,,,,,,,,,,,,,,,,2
98,,"2018-08-24 10:37:34",2,1,1,1,1,,,,,,,,,,,,,,,,,2
99,,"[not completed]",2,1,1,1,0,1,1,,,,,,,,,,,,,,,0
100,,"2018-08-24 10:59:46",2,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,2
101,,"[not completed]",2,1,2,3,0,1,0,,,,,,,,,,,,,,,0
102,,"2018-08-24 11:00:43",2,1,2,2,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,2
103,,"[not completed]",2,1,1,1,0,1,1,,,,,,,,,,,,,,,0
104,,"2018-08-24 11:23:21",2,1,2,2,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,2
105,,"2018-08-24 11:07:11",2,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,2
106,,"2018-08-24 11:20:12",1,1,3,4,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,2
107,,"2018-08-24 11:28:58",2,1,4,3,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,2
108,,"2018-08-24 12:20:18",1,1,1,1,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,2
109,,"2018-08-24 15:26:29",2,1,4,3,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,0,1,2
110,,"[not completed]",,,,,,,,,,,,,,,,,,,,,,0
111,,"2018-08-24 16:33:50",2,1,1,2,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,2
112,,"2018-08-24 16:46:48",,,,,,,,,,,,,,,,,,,,,,2
113,,"2018-08-24 18:47:17",2,1,1,1,1,,,,,,,,,,,,,,,,,2
114,,"2018-08-24 21:21:42",2,1,4,3,1,,,,,,,,,,,,,,,,,2
115,,"2018-08-26 22:48:48",2,1,3,2,0,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,1,2
116,,"2018-08-28 21:35:57",2,2,1,5,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,2
117,,"2018-08-31 10:57:15",2,1,2,3,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,2
118,,"2018-08-31 11:02:41",1,1,2,3,0,0,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,2
119,,"[not completed]",1,1,1,3,0,,,,,,,,,,,,,,,,,0
120,,"2018-08-31 10:59:53",2,1,2,3,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,2
121,,"[not completed]",,,,,,,,,,,,,,,,,,,,,,0
122,,"2018-08-31 11:00:31",2,1,1,2,0,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,1,2
123,,"2018-08-31 11:55:38",2,1,1,2,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,1,2
124,,"2018-08-31 11:01:04",2,1,1,4,1,,,,,,,,,,,,,,,,,2
125,,"2018-08-31 11:01:48",2,1,2,3,1,,,,,,,,,,,,,,,,,2
126,,"2018-08-31 11:07:33",2,1,1,2,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,2
127,,"2018-08-31 11:15:39",2,1,2,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,2
128,,"2018-08-31 11:15:02",1,1,1,1,1,,,,,,,,,,,,,,,,,2
129,,"2018-08-31 11:16:55",1,1,2,5,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,2
130,,"2018-08-31 11:17:20",2,1,1,6,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,2
131,,"2018-08-31 11:18:34",1,1,1,3,0,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,2
132,,"2018-08-31 11:20:42",2,1,2,4,0,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,2
133,,"2018-08-31 11:22:37",2,1,2,2,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,2
134,,"2018-08-31 11:23:53",2,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,1,1,1,0,1,2
135,,"2018-08-31 11:31:12",2,1,3,4,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,2
136,,"2018-08-31 11:45:45",1,1,2,2,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,2
137,,"2018-08-31 12:07:48",2,1,2,2,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,2
138,,"[not completed]",2,1,4,5,0,,,,,,,,,,,,,,,,,0
139,,"2018-08-31 12:48:54",2,1,1,2,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,2
140,,"[not completed]",1,1,1,1,0,1,,,,,,,,,,,,,,,,0
141,,"2018-08-31 13:34:55",1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,2
142,,"2018-08-31 13:46:31",1,1,4,4,1,,,,,,,,,,,,,,,,,2
143,,"[not completed]",1,1,3,2,0,,,,,,,,,,,,,,,,,0
144,,"[not completed]",1,1,3,2,0,1,1,,,,,,,,,,,,,,,0
145,,"2018-08-31 17:47:51",2,1,3,3,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,2
146,,"[not completed]",,,,,,,,,,,,,,,,,,,,,,0
147,,"[not completed]",2,1,1,3,0,0,0,0,0,0,0,0,,,,,,,,,,0
148,,"2018-08-31 23:05:33",2,1,1,1,1,,,,,,,,,,,,,,,,,2
149,,"2018-09-01 09:36:36",2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2
150,,"2018-09-01 18:06:30",1,1,1,2,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,2
151,,"2018-09-01 18:34:45",2,1,1,4,0,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0,1,2
152,,"[not completed]",1,1,4,4,0,1,1,,,,,,,,,,,,,,,0
153,,"[not completed]",1,1,4,4,0,1,1,0,1,1,,,,,,,,,,,,0
154,,"2018-09-02 12:47:01",1,1,2,4,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,2
155,,"2018-09-02 17:52:08",2,1,1,2,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,2
156,,"2018-09-03 21:37:21",1,1,3,5,1,,,,,,,,,,,,,,,,,2
157,,"2018-09-04 08:54:57",2,1,4,3,0,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,1,2
158,,"2018-09-04 09:32:26",2,1,1,2,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,2
159,,"2018-09-04 14:52:11",1,1,1,4,0,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,2
160,,"2018-09-07 15:26:35",2,1,1,6,1,,,,,,,,,,,,,,,,,2
161,,"2018-09-09 00:20:45",2,1,1,3,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,2
162,,"2018-09-12 09:41:18",2,2,4,3,0,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,1,2
163,,"2018-09-17 09:48:28",2,2,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,2
164,,"2018-09-17 09:48:46",2,2,1,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,2
165,,"2018-09-17 09:49:11",2,2,2,2,0,0,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,2
166,,"2018-09-17 09:47:53",2,2,1,1,1,,,,,,,,,,,,,,,,,2
167,,"2018-09-17 09:49:43",2,2,1,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,2
168,,"2018-09-17 09:50:08",1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2
169,,"2018-09-17 09:57:50",2,2,2,2,1,,,,,,,,,,,,,,,,,2
170,,"2018-09-17 10:06:19",2,2,3,2,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,2
171,,"2018-09-17 10:06:22",2,2,3,6,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,2
172,,"[not completed]",2,2,2,2,0,0,0,,,,,,,,,,,,,,,0
173,,"2018-09-17 10:39:11",2,2,4,3,0,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,2
174,,"2018-09-17 11:13:22",2,2,2,3,1,,,,,,,,,,,,,,,,,2
175,,"2018-09-17 12:22:47",2,2,1,1,1,,,,,,,,,,,,,,,,,2
176,,"2018-09-17 13:11:08",2,2,3,2,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,2
177,,"2018-09-17 13:11:38",1,2,1,2,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,0,1,2
178,,"[not completed]",,,,,0,,,,,,,,,,,,,,,,,0
179,,"2018-09-17 16:31:29",1,2,2,4,1,,,,,,,,,,,,,,,,,2
180,,"2018-09-17 20:00:48",2,2,3,3,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,1,2
181,,"2018-09-18 08:21:52",2,2,3,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,2
182,,"2018-09-20 10:34:59",2,2,4,2,1,,,,,,,,,,,,,,,,,2
183,,"2018-09-20 21:43:17",2,2,4,3,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,2
184,,"[not completed]",2,2,1,1,0,,,,,,,,,,,,,,,,,0
185,,"2018-09-22 11:08:11",2,2,1,1,1,,,,,,,,,,,,,,,,,2
186,,"2018-09-30 21:27:06",2,1,3,2,,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,2
187,,"2018-09-30 21:26:09",,,,,,,,,,,,,,,,,,,,,,2
188,,"2018-09-30 21:30:39",2,1,3,3,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,2
189,,"2018-09-30 21:32:20",2,1,3,3,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,1,2
190,,"2018-09-30 21:31:52",2,1,3,4,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,2
191,,"2018-09-30 21:33:56",2,1,3,4,0,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,1,2
192,,"[not completed]",2,1,4,2,0,1,1,0,1,1,1,0,,,,,,,,,,0
193,,"2018-09-30 23:52:41",2,1,3,5,1,,,,,,,,,,,,,,,,,2
194,,"2018-10-01 06:17:08",2,1,3,2,1,,,,,,,,,,,,,,,,,2
195,,"2018-10-01 13:32:15",2,1,3,3,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,2
196,,"2018-10-01 18:48:05",2,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
197,,"[not completed]",1,1,3,4,0,0,,,,,,,,,,,,,,,,0
198,,"2018-10-01 21:48:07",1,1,3,4,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,2
199,,"[not completed]",1,1,3,2,0,,,,,,,,,,,,,,,,,0
200,,"2018-10-19 17:15:07",2,2,4,6,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,2
201,,"[not completed]",,,,,,,,,,,,,,,,,,,,,,0
202,,"[not completed]",,,,,,,,,,,,,,,,,,,,,,0
